,상가업소번호,상호명,상권업종소분류코드,경도,위도,시도명,시군구명,법정동명
11110,25750026,청도손칼국수,Q04A02,128.603406302255,35.8451484114597,대구광역시,남구,봉덕동
95061,18015106,정담고디요리전문점,Q05A09,128.593354331461,35.864432724458,대구광역시,중구,덕산동
43992,23404238,투데이로스팅커피,Q12A01,128.547211998188,35.941444152581,대구광역시,북구,관음동
5462,20717629,카페인헤븐,Q12A01,128.549851675655,35.9336988156451,대구광역시,북구,읍내동
57895,25430663,함지박식당,Q01A01,128.554202378133,35.8917134613919,대구광역시,북구,노원동3가
11374,16731889,에쏘라인,Q01A01,128.625766493537,35.8632678176872,대구광역시,수성구,범어동
85009,17442248,닥치고푸드,Q04A01,128.592937184913,35.888698348356,대구광역시,북구,침산동
56016,16486775,테트리스찜닭동서변연경점,Q01A01,128.595936611973,35.9268181971378,대구광역시,북구,서변동
21372,12558116,파리바게뜨,Q08A01,128.621460754544,35.893241008259,대구광역시,북구,복현동
71115,13429637,돈뭉치,Q01A99,128.640752163392,35.9160510533401,대구광역시,동구,불로동
40610,12496183,통큰스테이크,Q06A08,128.582254385527,35.8698138483558,대구광역시,중구,대신동
47573,12319243,오가미식당,Q01A01,128.565969766901,35.8907122031043,대구광역시,북구,노원동3가
58991,26446224,콩밭사랑,Q01A01,128.649740548248,35.7493568474073,대구광역시,달성군,가창면
55387,19920196,남산골,Q01A01,128.591430995806,35.8574299103907,대구광역시,중구,남산동
100313,18312463,만인의식탁,Q01A01,128.568787817553,35.8805139642989,대구광역시,서구,비산동
44456,22793147,천탁,Q01A01,128.612982364281,35.9027033388742,대구광역시,북구,산격동
2785,15549595,대구남구시니어클럽써니커피,Q12A01,128.606232730209,35.8528855776005,대구광역시,남구,이천동
41360,20815265,연짬뽕,Q02A00,128.539582647123,35.8184030003013,대구광역시,달서구,상인동
39722,13725641,호식이두마리치킨,Q05A08,128.631849655685,35.8261194664921,대구광역시,수성구,지산동
21641,25787121,화목수삼겹뷔폐,Q01A02,128.611163451636,35.8822526952697,대구광역시,북구,대현동
31211,17073341,라오니피자,Q07A01,128.554920946376,35.9264199054688,대구광역시,북구,구암동
90720,17759781,린베이커리,Q08A01,128.598030151933,35.8677895009238,대구광역시,중구,삼덕동1가
96903,18069594,김준호의대단한갈비대구,Q01A02,128.514958748017,35.8970166462475,대구광역시,북구,사수동
14611,16608752,감성포차꽃술,Q09A02,128.553198584888,35.855674160964,대구광역시,달서구,두류동
93352,17883360,바트,Q09A08,128.591989497201,35.8685134354677,대구광역시,중구,종로2가
92568,17833384,마실,Q09A02,128.466916076432,35.8498753107143,대구광역시,달성군,다사읍
85727,17441461,티바두마리치킨,Q05A08,128.588943701827,35.8459772728542,대구광역시,남구,대명동
35358,17132129,착한외식배달연구소,Q01A01,128.550676119812,35.8287180028093,대구광역시,달서구,송현동
59321,15936740,한끼갈비,Q01A02,128.60860933959,35.8929462889261,대구광역시,북구,산격동
26473,12659141,밥통령,Q01A01,128.632280551654,35.8873800561135,대구광역시,동구,신암동
5572,26362194,일출수산,Q03A02,128.61705037437,35.8558769874388,대구광역시,수성구,수성동2가
