,상가업소번호,상호명,상권업종중분류명,경도,위도
40582,19956546,놀부잔치마당,한식,128.582744978558,35.8899289576918
23345,25721903,팔공식당,한식,128.608384485469,35.8678907393624
52638,16279477,바름족발,한식,128.532266462261,35.8364532324913
21659,26427188,카페리버,커피점/카페,128.428906962298,35.8514410876675
11585,20457402,어담횟집,한식,128.563724907644,35.9318408590601
89710,17700450,꽁꽁냠냠효목점청년24시무인편의점,패스트푸드,128.639913393644,35.8792998820455
91851,17840517,에브리커피코리아,커피점/카페,128.644611620351,35.8645652361682
96734,18118921,반야월원조말고기,한식,128.701041218587,35.8698734436991
93218,17917192,케이커웨이,제과제빵떡케익,128.594862258343,35.8454343659936
56141,25339812,옹고집,한식,128.43751620885,35.862784848117
36291,16007871,가우정,한식,128.536921734977,35.8324576597571
92556,17837332,후르쯔,커피점/카페,128.458255292497,35.6931290424445
9751,27293429,원조굴국밥전문점,한식,128.594000693971,35.8798241057735
85148,17528463,오레오,유흥주점,128.608689243012,35.8643019347209
15178,25807866,편의방순대볶음전문점,분식,128.605712949588,35.8558715804791
86368,17494596,온나,유흥주점,128.628477324523,35.8728347054572
59824,16429856,와룡총각,한식,128.49815233782,35.8560231344394
42666,25222908,쫄쫄이포차,한식,128.552997000645,35.8378017630786
83644,17270983,싱싱서민회수산,일식/수산물,128.637752644427,35.823853002125
5899,9032277,이인영선산곱창,한식,128.583586554048,35.8521414356912
71998,15979946,천왕왕갈비,한식,128.6009559675,35.847576241394
87218,17228866,왕돌해물찜,일식/수산물,128.63995704287,35.9122517527952
19336,25748804,소문난대성돼지국밥,한식,128.632096882379,35.8210076428385
51031,23387946,봉구비어,유흥주점,128.514676626432,35.8088408956724
20136,26168908,미소김밥천국,분식,128.558942480214,35.8790008899253
44822,20462610,레드제플린식당,유흥주점,128.581339725858,35.8567761238209
81083,16984288,그곳에가고싶다,한식,128.650252710797,35.7864800373685
91481,17813680,서변돈가,한식,128.598652555725,35.9195941749528
17085,25361027,역전우동0410,분식,128.539582647123,35.8184030003013
61085,20681853,참시루떡케익,제과제빵떡케익,128.631593154196,35.8747381754755
1831,19920455,우당탕반점,중식,128.635907062745,35.8560851233215
79754,8722078,주택떡방앗간,제과제빵떡케익,128.568568119659,35.8776668269216
90282,17564746,치맥킹달성군청점,닭/오리요리,128.428729577338,35.7752245875183
15411,16686422,153구포국수,분식,128.598201258016,35.8684556274608
12488,16636468,민들레,한식,128.454957909134,35.6981350529763
45344,25337113,소나무식당,한식,128.606538162797,35.8784455293806
77947,26215627,삼삼정생고기,한식,128.569266794529,35.8669648146996
12124,23365788,갤럭시,유흥주점,128.623119946164,35.8406042805448
9983,15996961,불로포차,유흥주점,128.640497552835,35.9133304468206
91371,17718061,스파이스치킨,닭/오리요리,128.567582519194,35.8761212132118
93560,17882119,아싸명품가리비,한식,128.516256897196,35.8956320508841
55429,20092048,밥앤드,한식,128.59788202904,35.87165690903
81491,22551678,엔자임베이커리,제과제빵떡케익,128.609422776474,35.8776738213158
103872,18544447,황금뜰,한식,128.621286483594,35.8411275280425
44467,19918213,창녕식당,한식,128.613198414293,35.8804396858784
84106,17229415,아이스크림할인점,패스트푸드,128.597162964225,35.9233780988592
2144,28479949,호산정식당,한식,128.604442489229,35.8926879220643
57925,22890071,도람집숯불갈비,한식,128.563792436339,35.8710646115385
85855,17450234,파스타입니다,한식,128.700042960923,35.8684281455287
31008,17062555,대동실내식당,한식,128.537178404161,35.836052820374
